,Country,Popularity,Title,Artist,Album/Single,Artist_followers,Explicit,Album,Release_date,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,Genre_new
38611,Global,7504.149999999999,praying,Kesha,album,5910376.0,False,Rainbow,2017-08-11,0.5760000000000001,0.39,10.0,-7.202000000000001,1.0,0.0297,0.491,0.0,0.111,0.319,73.433,230267.0,pop
4290,Global,7481.949999999998,baila baila baila - remix,Ozuna - Daddy Yankee - J Balvin - Farruko - Anuel AA,single,25013980.0,False,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",2019-04-25,0.785,0.5720000000000001,2.0,-7.504,1.0,0.123,0.0598,0.0,0.218,0.49,100.016,235284.0,latin
21972,Global,7474.699999999999,say so,Doja Cat - Nicki Minaj,single,4098337.0,True,Say So (feat. Nicki Minaj),2020-05-01,0.856,0.6409999999999999,11.0,-4.64,0.0,0.204,0.119,4.97e-06,0.4270000000000001,0.745,111.004,206221.0,indie
4823,Global,7458.099999999998,hope,XXXTENTACION,album,22910410.0,True,?,2018-03-16,0.5920000000000001,0.457,9.0,-6.081,0.0,0.0603,0.6609999999999999,0.000331,0.146,0.225,146.04,110886.0,rap
61492,Global,7449.899999999999,el préstamo,Maluma,album,21642776,False,F.A.M.E.,2018-05-18,0.74,0.74,5.0,-3.647,0.0,0.0686,0.205,0.0,0.107,0.7170000000000001,93.95,219600.0,reggaeton
31899,Global,7432.350000000001,follow god,Kanye West,album,12691508.0,False,JESUS IS KING,2019-10-25,0.529,0.9,1.0,-3.503,1.0,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591.0,rap
59977,Global,7420.450000000003,darkside,Alan Walker - Au/Ra - Tomine Harket,single,24925809.0,False,Darkside,2018-07-27,0.425,0.642,4.0,-5.06,0.0,0.0502,0.16399999999999998,0.0,0.118,0.112,170.00799999999995,211867.0,house
51499,Global,7404.05,xanny,Billie Eilish,album,34697267.0,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.521,0.125,9.0,-17.832,1.0,0.239,0.7509999999999999,0.00207,0.265,0.0528,111.554,243725.0,pop
2685,Global,7397.400000000002,wonderful christmastime  - remastered 2011 / edited version,Paul McCartney,album,3208871.0,False,McCartney II (Special Edition),1980-05-16,0.774,0.511,11.0,-8.914,1.0,0.0319,0.322,0.0,0.0672,0.7709999999999999,94.736,227653.0,rock
83752,Global,7389.650000000002,rich & sad,Post Malone,album,29173640,True,beerbongs & bentleys,2018-04-27,0.599,0.5710000000000001,2.0,-4.998,1.0,0.0665,0.198,0.0,0.0969,0.285,151.974,206453.0,rap
865,Global,7382.349999999998,nowadays,Lil Skies - Landon Cube,album,4514676.0,True,Life of a Dark Rose,2017-12-12,0.745,0.6459999999999999,6.0,-6.987,0.0,0.17,0.157,0.0,0.338,0.46,79.993,203908.0,rap
29481,Global,7371.000000000005,explícale,Yandel - Bad Bunny,album,4585050.0,False,#Update,2017-09-08,0.8079999999999999,0.69,1.0,-4.151,1.0,0.14800000000000002,0.0583,0.0,0.103,0.64,125.086,223147.0,latin
11231,Global,7362.349999999998,how would you feel,Ed Sheeran,album,71783101.0,False,÷ (Deluxe),2017-03-03,0.617,0.439,9.0,-5.63,1.0,0.0269,0.424,0.0,0.127,0.242,139.97899999999998,280533.0,pop
27312,Global,7356.7,loco contigo,DJ Snake - J Balvin - Tyga,single,7101818.0,False,Loco Contigo (with J. Balvin & Tyga),2019-06-13,0.8220000000000001,0.743,6.0,-3.04,0.0,0.0567,0.285,2.31e-06,0.102,0.355,96.025,185195.0,pop
11187,Global,7347.849999999998,let me,ZAYN,single,13407533.0,False,Let Me,2018-04-12,0.46,0.5670000000000001,9.0,-5.6370000000000005,1.0,0.0515,0.239,6.04e-06,0.0934,0.189,168.419,185703.0,pop
34486,Global,7341.900000000002,jeans,Justin Quiles,single,2120861.0,True,Jeans,2020-08-14,0.807,0.6559999999999999,3.0,-4.395,0.0,0.105,0.0165,0.0,0.0693,0.89,83.943,185840.0,latin
83534,Global,7320.200000000003,me!,Taylor Swift - Brendon Urie,single,33485486,False,ME!,2019-04-26,0.614,0.8390000000000001,0.0,-4.143,1.0,0.0702,0.0291,0.0,0.112,0.657,182.123,193040.0,pop
77248,Global,7279.200000000003,ill be there,Jess Glynne,single,2340619,False,I'll Be There,2018-05-03,0.623,0.851,7.0,-3.111,1.0,0.0409,0.0228,0.0,0.12,0.4,100.063,193924.0,pop
38941,Global,7271.900000000002,home,Machine Gun Kelly - X Ambassadors - Bebe Rexha,single,2691848.0,False,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",2017-11-18,0.653,0.718,3.0,-5.232,0.0,0.213,0.00413,0.0,0.0537,0.21600000000000005,82.03399999999998,202805.0,hip hop
8931,Global,7266.500000000003,in your eyes,Robin Schulz - Alida,single,2531210.0,False,In Your Eyes (feat. Alida),2020-01-10,0.57,0.672,8.0,-5.89,0.0,0.0723,0.177,0.0,0.0768,0.448,120.019,208222.0,pop
55030,Global,7262.400000000002,mad at disney,salem ilese,single,66926.0,False,Mad at Disney,2020-07-24,0.738,0.621,0.0,-7.313,1.0,0.0486,0.424,7.39e-06,0.6920000000000001,0.715,113.968,136839.0,pop
50765,Global,7253.400000000002,cross me,Ed Sheeran - Chance the Rapper - PnB Rock,album,71783101.0,True,No.6 Collaborations Project,2019-07-12,0.746,0.787,4.0,-6.372999999999998,1.0,0.12,0.212,0.0,0.0669,0.607,95.005,206187.0,pop
67498,Global,7250.649999999998,baby,Quality Control - Lil Baby - DaBaby,album,676267,True,Quality Control: Control The Streets Volume 2,2019-08-16,0.97,0.463,10.0,-7.258999999999999,1.0,0.366,0.0957,0.0,0.151,0.46,108.003,142417.0,hip hop
4357,Global,7247.599999999998,never recover,Lil Baby - Gunna - Drake,album,5372519.0,True,Drip Harder,2018-10-05,0.753,0.6859999999999999,1.0,-5.415,0.0,0.284,0.0677,0.0,0.193,0.8859999999999999,132.055,194732.0,hip hop
69197,Global,7237.000000000001,ice cream,BLACKPINK - Selena Gomez,single,16413563,False,Ice Cream (with Selena Gomez),2020-08-28,0.79,0.7290000000000001,9.0,-3.843,1.0,0.334,0.0342,9.31e-05,0.0411,0.904,159.989,175813.0,k-pop
2241,Global,7233.400000000002,startender,A Boogie Wit da Hoodie - Tyga - Offset,album,5184928.0,True,Hoodie SZN,2018-12-21,0.736,0.622,6.0,-4.6530000000000005,0.0,0.133,0.0235,0.0,0.151,0.506,191.971,192779.0,rap
12973,Global,7188.099999999999,se te nota,Lele Pons - Guaynaa,single,520157.0,False,Se Te Nota (with Guaynaa),2020-09-02,0.905,0.6859999999999999,0.0,-3.152,1.0,0.0664,0.0907,0.0,0.266,0.963,103.013,155825.0,pop
7782,Global,7151.799999999997,wasted,Juice WRLD - Lil Uzi Vert,album,13266070.0,True,Goodbye & Good Riddance,2018-05-23,0.742,0.579,0.0,-5.024,1.0,0.202,0.0381,0.0,0.0952,0.502,144.994,258475.0,rap
46113,Global,7141.549999999997,new man,Ed Sheeran,album,71783101.0,False,÷ (Deluxe),2017-03-03,0.78,0.745,7.0,-3.97,1.0,0.145,0.0559,0.0,0.0595,0.862,94.026,189280.0,pop
58003,Global,7132.350000000002,báilame,Nacho,single,2874113.0,False,Bailame,2017-04-14,0.8170000000000001,0.8690000000000001,6.0,-4.791,1.0,0.18,0.163,0.0022600000000000003,0.0497,0.561,96.029,207200.0,pop
8497,Global,7111.950000000003,vida de rico,Camilo,single,4501456.0,False,Vida de Rico,2020-09-21,0.8240000000000001,0.457,6.0,-5.428,1.0,0.0543,0.16699999999999998,0.0,0.041,0.95,87.977,187427.0,pop
78704,Global,7109.500000000003,el préstamo,Maluma,single,21642776,False,El Préstamo,2018-03-09,0.794,0.735,5.0,-3.412,0.0,0.0757,0.17600000000000002,0.0,0.118,0.777,94.017,219396.0,reggaeton
4138,Global,7106.650000000002,forever,Justin Bieber - Post Malone - Clever,album,39214943.0,False,Changes,2020-02-14,0.825,0.483,8.0,-5.746,0.0,0.08,0.5379999999999999,1.4800000000000002e-05,0.204,0.892,139.98,219933.0,pop
70247,Global,7102.400000000002,quiero repetir,Ozuna - J Balvin,album,25013980,False,Odisea,2017-08-25,0.608,0.753,0.0,-4.748,0.0,0.368,0.103,0.0,0.0996,0.482,97.626,200987.0,latin
29108,Global,7089.799999999997,a whole new world  - from aladdin,ZAYN - Zhavia Ward,single,13407533.0,False,"A Whole New World (End Title) [From ""Aladdin""]",2019-05-09,0.302,0.414,2.0,-8.16,1.0,0.0319,0.0575,0.0,0.0861,0.105,110.508,242956.0,pop
8216,Global,7077.600000000001,wait,Maroon 5,album,27713137.0,False,Red Pill Blues (Deluxe),2017-11-03,0.659,0.604,8.0,-5.084,1.0,0.0542,0.0889,0.0,0.105,0.407,126.135,190643.0,pop
17423,Global,7071.150000000002,parce,Maluma - Lenny Tavárez - Justin Quiles,album,21642776.0,False,PAPI JUANCHO,2020-08-21,0.691,0.7390000000000001,5.0,-3.09,0.0,0.229,0.422,3.95e-06,0.11,0.884,83.897,248345.0,reggaeton
17664,Global,7058.399999999999,bebe,6ix9ine - Anuel AA,album,5963018.0,True,DUMMY BOY,2018-11-27,0.635,0.902,0.0,-3.559,1.0,0.109,0.172,0.0,0.125,0.28600000000000003,102.063,217822.0,rap
10518,Global,7045.900000000002,the greatest,Sia - Kendrick Lamar,album,17732676.0,False,This Is Acting (Deluxe Version),2016-10-21,0.6679999999999999,0.725,1.0,-6.127000000000002,1.0,0.266,0.0102,0.000479,0.0561,0.7290000000000001,191.944,210227.0,dance/electronic
1836,Global,7036.500000000003,esskeetit,Lil Pump,single,7325898.0,True,Esskeetit,2018-04-13,0.934,0.505,11.0,-7.648,1.0,0.168,0.0229,0.0,0.0867,0.691,139.93,181714.0,rap
45942,Global,7035.750000000003,powerglide,Rae Sremmurd - Swae Lee - Slim Jxmmi - Juicy J,single,6127363.0,True,Powerglide (feat. Juicy J),2018-03-01,0.7120000000000001,0.8290000000000001,1.0,-4.707,0.0,0.141,0.0149,0.0,0.122,0.593,173.953,332301.0,hip hop
20554,Global,7019.95,vai malandra,Anitta - Mc Zaac - Maejor - Tropkillaz - DJ Yuri Martins,single,9903432.0,False,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),2017-12-18,0.8759999999999999,0.55,2.0,-5.464,1.0,0.152,0.0227,4.52e-05,0.294,0.557,129.924,201532.0,funk
66114,Global,7014.150000000002,homicide,Logic - Eminem,album,5004777,True,Confessions of a Dangerous Mind,2019-05-10,0.6940000000000001,0.759,10.0,-5.667000000000002,0.0,0.398,0.13699999999999998,0.0,0.16699999999999998,0.77,140.055,245387.0,hip hop
76351,Global,6998.3,better,Khalid,single,12829933,False,Better,2018-09-14,0.442,0.585,0.0,-10.332,0.0,0.0964,0.0984,0.391,0.14,0.116,97.565,229413.0,r&b/soul
26495,Global,6998.25,after hours,The Weeknd,album,25562055.0,False,After Hours,2020-03-20,0.664,0.5720000000000001,5.0,-6.099,0.0,0.0305,0.0811,0.00604,0.121,0.14300000000000002,108.959,361027.0,r&b/soul
12157,Global,6995.499999999999,apeshit,The Carters,album,964533.0,True,EVERYTHING IS LOVE,2018-06-16,0.705,0.784,2.0,-6.477,1.0,0.271,0.0133,0.0,0.168,0.377,160.035,264853.0,pop
71191,Global,6986.849999999998,dollaz on my head,Gunna - Young Thug,album,2611308,True,WUNNA,2020-05-22,0.825,0.458,0.0,-7.47,1.0,0.0577,0.114,0.0,0.102,0.161,145.115,197760.0,hip hop
53264,Global,6981.550000000001,toes,DaBaby - Lil Baby - Moneybagg Yo,album,4807934.0,True,KIRK,2019-09-27,0.816,0.5820000000000001,8.0,-4.141,1.0,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366.0,hip hop
43421,Global,6968.650000000002,ayer me llamó mi ex,KHEA - Lenny Santos,single,2301227.0,True,Ayer Me Llamó Mi Ex (feat. Lenny Santos),2020-08-20,0.752,0.716,10.0,-5.2,0.0,0.0325,0.254,0.0,0.243,0.5529999999999999,117.007,206760.0,hip hop
74950,Global,6965.5,fine china,Future - Juice WRLD,album,9442830,True,Future & Juice WRLD Present... WRLD ON DRUGS,2018-10-19,0.6559999999999999,0.542,7.0,-7.358,1.0,0.32299999999999995,0.0484,0.0,0.126,0.551,166.111,141587.0,hip hop
9668,Global,6963.950000000003,lean,Super Yei - Towy - Osquel - Beltito - Sammy & Falsetto,single,197308.0,True,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",2017-03-31,0.863,0.669,6.0,-5.952000000000001,0.0,0.282,0.111,0.0,0.0569,0.947,164.062,260545.0,latin
29428,Global,6935.149999999999,moves,Big Sean,album,7838718.0,True,I Decided.,2017-02-03,0.812,0.522,2.0,-5.287000000000001,1.0,0.257,0.0433,0.0,0.154,0.38,75.524,142907.0,hip hop
36716,Global,6930.6,el farsante,Ozuna,album,25013980.0,False,Odisea,2017-08-25,0.735,0.703,6.0,-4.249,1.0,0.0611,0.2,0.0,0.259,0.32299999999999995,120.007,233827.0,latin
58889,Global,6915.75,rake it up,Yo Gotti - Nicki Minaj,single,3068359.0,True,Rake It Up,2017-06-23,0.91,0.444,1.0,-8.126,0.0,0.344,0.022,0.0,0.13699999999999998,0.53,149.953,276333.0,rap
22004,Global,6914.849999999998,no lie,Sean Paul - Dua Lipa,single,3196996.0,False,No Lie,2016-11-18,0.741,0.8909999999999999,7.0,-2.824,1.0,0.119,0.0437,0.0,0.256,0.449,102.002,221176.0,pop
71795,Global,6910.999999999999,mala,6ix9ine - Anuel AA,album,5963018,True,DUMMY BOY,2018-11-27,0.7190000000000001,0.825,5.0,-3.627,0.0,0.0424,0.6890000000000001,0.0,0.103,0.789,100.006,206550.0,rap
14104,Global,6908.450000000003,be careful,Cardi B,album,13132135.0,True,Invasion of Privacy,2018-04-06,0.82,0.568,6.0,-8.23,0.0,0.411,0.0256,0.0,0.0952,0.535,152.279,210787.0,pop
78926,Global,6885.200000000003,she loves control,Camila Cabello,album,18673543,False,Camila,2018-01-12,0.65,0.758,2.0,-4.02,1.0,0.116,0.166,0.0,0.0889,0.6629999999999999,94.9,177160.0,pop
27189,Global,6865.75,underneath the tree,Kelly Clarkson,album,6992370.0,False,Wrapped In Red,2013-10-25,0.509,0.812,8.0,-5.438,1.0,0.0537,0.0013,1.99e-05,0.214,0.6890000000000001,159.876,229640.0,pop
55323,Global,6855.85,"alone, pt. ii",Alan Walker - Ava Max,single,24925809.0,False,"Alone, Pt. II",2019-12-27,0.67,0.6679999999999999,3.0,-4.306,0.0,0.0422,0.536,0.0,0.133,0.608,88.03299999999999,179053.0,house
37417,Global,6853.350000000001,big bank,YG - 2 Chainz - Big Sean - Nicki Minaj,album,2387089.0,True,STAY DANGEROUS,2018-08-03,0.745,0.34600000000000003,1.0,-7.709,1.0,0.331,0.005520000000000001,0.0,0.0881,0.112,203.911,237240.0,rap
63882,Global,6844.85,its gotta be you,Isaiah Firebrace,album,47472,False,Isaiah,2016-12-09,0.422,0.745,8.0,-4.632,1.0,0.0378,0.221,0.0,0.0981,0.588,95.487,193447.0,pop
28918,Global,6827.349999999999,powerglide  - from sr3mm,Rae Sremmurd - Swae Lee - Slim Jxmmi - Juicy J,album,6127363.0,True,SR3MM,2018-05-04,0.713,0.831,1.0,-4.75,0.0,0.15,0.0168,0.0,0.118,0.584,173.94799999999995,332301.0,hip hop
34104,Global,6806.5,if im lucky,Jason Derulo,single,8406712.0,False,If I'm Lucky,2017-08-31,0.897,0.634,4.0,-6.2639999999999985,0.0,0.161,0.00413,0.0,0.0686,0.506,112.048,212014.0,pop
46327,Global,6783.25,rodeo,Lil Nas X - Cardi B,single,3624644.0,True,7 EP,2019-06-21,0.706,0.679,9.0,-5.614,1.0,0.0324,0.139,6.979999999999999e-05,0.465,0.657,140.08100000000002,158707.0,rap
25099,Global,6770.599999999998,sexual,NEIKED - Dyo,single,95054.0,False,Sexual,2016-08-26,0.8029999999999999,0.569,2.0,-7.392,1.0,0.0739,0.0623,0.0,0.083,0.809,107.986,188889.0,pop
16665,Global,6750.800000000001,bellaquita - remix,Dalex - Lenny Tavárez - Anitta - Natti Natasha - Farruko - Justin Quiles,single,2661429.0,True,Bellaquita (Remix),2019-11-22,0.795,0.715,1.0,-3.582,1.0,0.0838,0.141,2.12e-06,0.179,0.758,165.94099999999997,304733.0,latin
23232,Global,6740.000000000001,rewrite the stars,James Arthur - Anne-Marie,single,6843219.0,False,Rewrite The Stars (with James Arthur & Anne-Marie),2018-10-25,0.67,0.743,10.0,-4.993,1.0,0.0393,0.237,0.0,0.465,0.5710000000000001,125.944,218293.0,pop
14153,Global,6734.0,mi cama,KAROL G,single,12839172.0,False,Mi Cama,2018-05-11,0.826,0.815,9.0,-4.773,1.0,0.0875,0.222,6.96e-05,0.0964,0.68,163.07299999999995,151400.0,latin
21616,Global,6725.65,ghostface killers,21 Savage - Offset - Metro Boomin - Travis Scott,album,8668809.0,True,Without Warning,2017-10-30,0.782,0.436,2.0,-7.033,1.0,0.155,0.331,1.3e-05,0.342,0.243,82.994,268933.0,hip hop
34910,Global,6704.900000000002,butterfly effect,Travis Scott,album,13434540.0,False,ASTROWORLD,2018-08-02,0.764,0.628,11.0,-5.851,1.0,0.0503,0.053,0.0,0.114,0.196,140.963,190557.0,rap
62077,Global,6700.4,somebody to love - remastered 2011,Queen,album,29836055,False,A Day At The Races (Deluxe Remastered Version),1976-12-10,0.4970000000000001,0.693,8.0,-7.024,1.0,0.0565,0.19,0.0,0.215,0.358,111.539,296493.0,rock
47787,Global,6696.4,blem,Drake,album,50593376.0,False,More Life,2017-03-18,0.726,0.535,7.0,-7.8039999999999985,0.0,0.0476,0.0533,1.3800000000000003e-05,0.0984,0.375,98.067,216558.0,hip hop
21587,Global,6684.8,woman like me,Little Mix - Nicki Minaj,album,8158070.0,True,LM5 (Deluxe),2018-11-16,0.754,0.8540000000000001,5.0,-3.449,0.0,0.0608,0.177,0.0,0.0808,0.8,75.002,229720.0,pop
32748,Global,6645.75,this feeling,The Chainsmokers - Kelsea Ballerini,album,16931568.0,False,Sick Boy...This Feeling,2018-09-18,0.539,0.6509999999999999,1.0,-5.3039999999999985,1.0,0.0432,0.0651,0.0,0.0662,0.474,105.159,199227.0,pop
4521,Global,6616.099999999999,mamacita,Black Eyed Peas - Ozuna - J. Rey Soul,single,4907118.0,True,MAMACITA,2020-04-10,0.894,0.635,2.0,-6.9289999999999985,1.0,0.0473,0.193,0.00105,0.0823,0.428,105.013,249143.0,pop
82578,Global,6598.500000000001,esperándote,Manuel Turizo,single,6254541,False,Esperándote,2017-12-07,0.6970000000000001,0.648,7.0,-7.122999999999998,1.0,0.128,0.425,0.0,0.191,0.313,186.125,199813.0,pop
156,Global,6575.749999999997,sixteen,Ellie Goulding,single,8604850.0,False,Sixteen,2019-04-12,0.669,0.8009999999999999,8.0,-5.445,1.0,0.136,0.268,0.0,0.0594,0.541,109.919,201072.0,pop
38926,Global,6562.949999999999,are you bored yet?,Wallows - Clairo,album,1437690.0,False,Nothing Happens,2019-03-22,0.682,0.6829999999999999,8.0,-6.444,0.0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000.0,pop
66260,Global,6562.350000000002,rover,S1mba - DTG,single,31441,True,Rover (feat. DTG),2020-03-04,0.613,0.624,11.0,-6.66,0.0,0.206,0.496,0.0,0.28300000000000003,0.804,62.948,167917.0,r&b/soul
53694,Global,6497.849999999999,let it snow! let it snow! let it snow!,Frank Sinatra - B. Swanson Quartet,album,4274718.0,False,Christmas Songs By Sinatra,1948,0.603,0.321,2.0,-11.489,1.0,0.0599,0.8809999999999999,0.0,0.34,0.8440000000000001,143.10399999999996,155600.0,pop
67680,Global,6469.950000000004,tell me you love me,Demi Lovato,album,18346890,False,Tell Me You Love Me,2017-09-29,0.516,0.5920000000000001,3.0,-5.465,0.0,0.0566,0.0247,0.0,0.181,0.271,82.05,236987.0,pop
77277,Global,6462.049999999997,end game,Taylor Swift - Ed Sheeran - Future,album,33485486,False,reputation,2017-11-10,0.649,0.589,2.0,-6.237,1.0,0.0558,0.00845,0.0,0.108,0.151,159.07299999999995,244827.0,pop
47570,Global,6460.1,like it is,Kygo - Zara Larsson - Tyga,single,6858400.0,False,Like It Is,2020-03-27,0.794,0.728,1.0,-6.759,1.0,0.114,0.121,8.82e-06,0.227,0.36,105.024,183067.0,dance/electronic
233,Global,6459.65,to die for,Sam Smith,single,14303985.0,False,To Die For,2020-02-14,0.483,0.361,0.0,-7.8889999999999985,1.0,0.0738,0.8320000000000001,4.66e-06,0.098,0.307,171.649,193795.0,pop
48287,Global,6447.450000000003,high on life,Martin Garrix - Bonn,single,13885414.0,False,High On Life (feat. Bonn),2018-07-29,0.414,0.486,6.0,-6.431,0.0,0.0311,0.0129,0.0,0.111,0.368,128.03799999999998,230762.0,house
52960,Global,6445.700000000003,dreams - 2004 remaster,Fleetwood Mac,album,5464936.0,False,Rumours (Super Deluxe),1977-02-04,0.828,0.4920000000000001,0.0,-9.744,1.0,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800.0,rock
79294,Global,6444.700000000003,needy,Ariana Grande,album,52571724,True,"thank u, next",2019-02-08,0.647,0.309,7.0,-7.947999999999999,0.0,0.0366,0.78,7.41e-06,0.202,0.195,87.045,171573.0,pop
63863,Global,6437.599999999999,jangueo,Alex Rose - Rafa Pabön,album,1605431,False,LOST,2019-11-08,0.851,0.688,11.0,-4.038,1.0,0.0565,0.238,1.93e-05,0.105,0.732,103.982,259600.0,latin
2797,Global,6426.4,comethru,Jeremy Zucker,single,1262102.0,False,"summer,",2018-09-28,0.795,0.17800000000000002,0.0,-11.991,1.0,0.0574,0.607,0.0,0.623,0.608,93.982,181613.0,pop
28161,Global,6395.05,x,21 Savage - Metro Boomin - Future,album,8668809.0,True,Savage Mode,2016-07-15,0.835,0.413,1.0,-9.81,1.0,0.396,0.373,0.00133,0.101,0.111,149.004,258880.0,hip hop
50695,Global,6390.650000000002,lovesick girls,BLACKPINK,album,16413563.0,False,THE ALBUM,2020-10-02,0.6579999999999999,0.733,6.0,-4.756,1.0,0.0586,0.006679999999999999,0.0,0.118,0.464,127.977,192760.0,k-pop
23979,Global,6363.9,lot to learn,Luke Christopher,single,152740.0,True,TMRW,2015-09-11,0.405,0.846,6.0,-3.57,1.0,0.195,0.0948,0.0,0.0666,0.602,82.23200000000001,248337.0,pop
72102,Global,6355.0,wonder,Shawn Mendes,single,29743681,False,Wonder,2020-10-02,0.333,0.637,1.0,-4.904,0.0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172693.0,pop
39997,Global,6343.199999999998,créeme,KAROL G - Maluma,single,12839172.0,False,Créeme,2018-11-02,0.715,0.872,6.0,-3.5010000000000003,1.0,0.0547,0.154,0.000146,0.11,0.682,96.939,212493.0,latin
73639,Global,6343.099999999999,too good,Drake - Rihanna,album,50593376,True,Views,2016-05-06,0.804,0.648,7.0,-7.805,1.0,0.117,0.0573,3.4899999999999995e-05,0.102,0.392,117.983,263373.0,hip hop
72027,Global,6282.949999999998,banana  - dj fle - minisiren remix,Conkarah - Shaggy - DJ Fle,single,60955,False,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],2020-05-15,0.8240000000000001,0.8540000000000001,8.0,-5.312,1.0,0.177,0.016,4.95e-05,0.117,0.8959999999999999,95.114,210329.0,else
66574,Global,6277.7,audio,Sia - Diplo - Labrinth - LSD,single,17732676,False,Audio,2018-05-10,0.365,0.6920000000000001,3.0,-4.586,0.0,0.0671,0.192,1.51e-06,0.0862,0.3720000000000001,89.99799999999998,203400.0,dance/electronic
50522,Global,6254.450000000003,a holly jolly christmas - single version,Burl Ives,album,47298.0,False,Have A Holly Jolly Christmas,1965-01-01,0.6829999999999999,0.375,0.0,-13.056,1.0,0.0303,0.579,0.0,0.076,0.888,140.467,135533.0,pop
7071,Global,6248.25,me!,Taylor Swift - Brendon Urie - Panic! At The Disco,album,33485486.0,False,Lover,2019-08-23,0.61,0.83,0.0,-4.105,1.0,0.0571,0.033,0.0,0.118,0.728,182.162,193000.0,pop
42948,Global,6247.199999999999,3 a.m.,Jesse & Joy - Gente De Zona,single,4153875.0,False,3 A.M.,2017-08-18,0.7020000000000001,0.84,0.0,-3.547,1.0,0.0879,0.0112,0.0,0.119,0.624,101.99,183573.0,latin
64973,Global,6245.950000000003,bad!,XXXTENTACION,album,22910410,False,SKINS,2018-12-07,0.78,0.4920000000000001,5.0,-3.4,0.0,0.0671,0.0643,0.0313,0.174,0.374,143.983,94246.0,rap
77213,Global,6245.95,nasa,Ariana Grande,album,52571724,False,"thank u, next",2018-02-07,0.737,0.461,6.0,-6.8870000000000005,1.0,0.293,0.447,0.0,0.268,0.481,75.005,182000.0,pop
61629,Global,6238.400000000002,alguien robo,Sebastian Yatra - Nacho - Wisin,single,13536364,False,Alguien Robó,2017-02-10,0.745,0.921,0.0,-2.674,1.0,0.08199999999999999,0.0897,0.0,0.17800000000000002,0.6509999999999999,92.973,223613.0,pop
73240,Global,6122.299999999997,sucker for pain,Lil Wayne - Wiz Khalifa - Imagine Dragons - X Ambassadors - Logic - Ty Dolla $ign,single,9717614,True,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),2016-06-24,0.502,0.7859999999999999,9.0,-4.378,0.0,0.317,0.255,0.0,0.65,0.7390000000000001,169.021,243491.0,hip hop
36199,Global,6121.15,sick boy,The Chainsmokers,single,16931568.0,False,Sick Boy,2018-01-17,0.5479999999999999,0.58,11.0,-7.524,0.0,0.121,0.104,0.0,0.127,0.462,180.06599999999997,193893.0,pop
41127,Global,6110.300000000002,noticed,Lil Mosey,album,2945049.0,True,Northsbest,2018-10-19,0.6990000000000001,0.5579999999999999,11.0,-7.622000000000001,1.0,0.0603,0.462,0.0,0.116,0.493,79.992,165000.0,rap
68650,Global,6108.95,ice cream,BLACKPINK - Selena Gomez,album,16413563,False,THE ALBUM,2020-10-02,0.785,0.7190000000000001,4.0,-3.886,1.0,0.354,0.0374,0.000108,0.0519,0.887,159.953,175813.0,k-pop
13411,Global,6041.900000000002,la bicicleta,Carlos Vives - Shakira,album,4076020.0,False,El Dorado,2017-05-26,0.736,0.964,0.0,-2.147,1.0,0.129,0.198,2.32e-06,0.336,0.953,179.935,227707.0,latin
58998,Global,6026.299999999997,fairytale of new york,The Pogues - Kirsty MacColl,album,335208.0,False,If I Should Fall from Grace with God (Expanded Edition),1988-09-05,0.271,0.551,2.0,-7.48,1.0,0.0457,0.5820000000000001,4.16e-05,0.256,0.428,78.111,272467.0,else
50126,Global,6024.549999999997,good thing,Zedd - Kehlani,single,5236599.0,True,Good Thing (with Kehlani),2019-09-27,0.693,0.564,1.0,-3.857,0.0,0.0378,0.399,0.0,0.0409,0.574,185.913,210901.0,dance/electronic
32591,Global,6019.700000000003,"i hate u, i love u",gnash - Olivia O'Brien,album,1520427.0,True,us,2016-03-25,0.4920000000000001,0.275,6.0,-13.4,0.0,0.3,0.687,0.0,0.101,0.18,92.6,251034.0,pop
16192,Global,6007.999999999997,mean it,Lauv - LANY,album,3587039.0,False,~how i'm feeling~,2019-11-14,0.746,0.45,7.0,-8.543,1.0,0.0872,0.0407,0.0,0.172,0.336,95.998,232853.0,pop
2429,Global,5995.1,motorsport,Migos - Nicki Minaj - Cardi B,album,10919803.0,True,Culture II,2018-01-26,0.904,0.518,2.0,-5.32,1.0,0.183,0.0305,0.0,0.325,0.188,137.996,303077.0,hip hop
3980,Global,5990.250000000001,level of concern,Twenty One Pilots,single,18703210.0,False,Level of Concern,2020-04-09,0.754,0.583,4.0,-7.34,0.0,0.0432,0.32,0.00015,0.14400000000000002,0.77,122.012,220051.0,rock
